test,item,score,speaker_name,speaker,rater,rater_gender,rater_age,speaker_wav
137,16,4,MOK,3338,918,M.r,50,16_M13_OK.wav
137,17,6,ENY,3337,918,M.r,50,17_E01_NY.wav
137,18,5,IJU,3340,918,M.r,50,18_I08_JU.wav
137,19,4,EOK,3341,918,M.r,50,19_E01_OK.wav
137,20,5,MNY,3342,918,M.r,50,20_M10_NY.wav
137,21,5,EJU,3343,918,M.r,50,21_E02_JU.wav
137,22,2,IOK,3339,918,M.r,50,22_I01_OK.wav
137,23,5,MNY,3342,918,M.r,50,23_M08_NY.wav
137,24,6,MJU,3335,918,M.r,50,24_M02_JU.wav
137,25,4,EOK,3341,918,M.r,50,25_E05_OK.wav
137,26,4,INY,3336,918,M.r,50,26_I02_NY.wav
137,27,3,IJU,3340,918,M.r,50,27_I13_JU.wav
137,28,3,MOK,3338,918,M.r,50,28_M02_OK.wav
137,29,4,MNY,3342,918,M.r,50,29_M01_NY.wav
137,30,7,EJU,3343,918,M.r,50,30_E05_JU.wav
137,31,3,IOK,3339,918,M.r,50,31_I13_OK.wav
137,32,7,MNY,3342,918,M.r,50,32_M02_NY.wav
137,33,6,EJU,3343,918,M.r,50,33_E13_JU.wav
137,34,4,MOK,3338,918,M.r,50,34_M08_OK.wav
137,35,5,INY,3336,918,M.r,50,35_I10_NY.wav
137,36,7,EJU,3343,918,M.r,50,36_E01_JU.wav
137,37,5,MOK,3338,918,M.r,50,37_M10_OK.wav
137,38,7,ENY,3337,918,M.r,50,38_E08_NY.wav
137,39,4,MJU,3335,918,M.r,50,39_M05_JU.wav
137,40,4,EOK,3341,918,M.r,50,40_E13_OK.wav
137,41,4,INY,3336,918,M.r,50,41_I01_NY.wav
137,42,4,IJU,3340,918,M.r,50,42_I05_JU.wav
137,43,5,EOK,3341,918,M.r,50,43_E08_OK.wav
137,44,7,ENY,3337,918,M.r,50,44_E05_NY.wav
137,45,5,MJU,3335,918,M.r,50,45_M10_JU.wav
137,46,5,IOK,3339,918,M.r,50,46_I08_OK.wav
137,47,4,INY,3336,918,M.r,50,47_I13_NY.wav
137,48,5,IJU,3340,918,M.r,50,48_I02_JU.wav
137,49,6,EOK,3341,918,M.r,50,49_E10_OK.wav
137,50,6,INY,3336,918,M.r,50,50_I05_NY.wav
137,51,6,EJU,3343,918,M.r,50,51_E08_JU.wav
137,52,3,IOK,3339,918,M.r,50,52_I10_OK.wav
137,53,7,MNY,3342,918,M.r,50,53_M13_NY.wav
137,54,5,IJU,3340,918,M.r,50,54_I10_JU.wav
137,55,5,IOK,3339,918,M.r,50,55_I02_OK.wav
137,56,7,ENY,3337,918,M.r,50,56_E13_NY.wav
137,57,6,MJU,3335,918,M.r,50,57_M01_JU.wav
137,4,2,MOK,3338,1992,M.r,64,04_M01_OK.wav
137,5,5,ENY,3337,1992,M.r,64,05_E10_NY.wav
137,6,3,MJU,3335,1992,M.r,64,06_M08_JU.wav
137,7,5,IOK,3339,1992,M.r,64,07_I05_OK.wav
137,8,4,ENY,3337,1992,M.r,64,08_E02_NY.wav
137,9,4,IJU,3340,1992,M.r,64,09_I01_JU.wav
137,10,5,MOK,3338,1992,M.r,64,10_M05_OK.wav
137,11,3,INY,3336,1992,M.r,64,11_I08_NY.wav
137,12,5,MJU,3335,1992,M.r,64,12_M13_JU.wav
137,13,3,EOK,3341,1992,M.r,64,13_E02_OK.wav
137,14,5,MNY,3342,1992,M.r,64,14_M05_NY.wav
137,15,3,EJU,3343,1992,M.r,64,15_E10_JU.wav
137,16,5,MOK,3338,1992,M.r,64,16_M13_OK.wav
137,17,2,ENY,3337,1992,M.r,64,17_E01_NY.wav
137,18,4,IJU,3340,1992,M.r,64,18_I08_JU.wav
137,19,2,EOK,3341,1992,M.r,64,19_E01_OK.wav
137,20,5,MNY,3342,1992,M.r,64,20_M10_NY.wav
137,21,3,EJU,3343,1992,M.r,64,21_E02_JU.wav
137,22,4,IOK,3339,1992,M.r,64,22_I01_OK.wav
137,23,4,MNY,3342,1992,M.r,64,23_M08_NY.wav
137,24,5,MJU,3335,1992,M.r,64,24_M02_JU.wav
137,25,2,EOK,3341,1992,M.r,64,25_E05_OK.wav
137,26,4,INY,3336,1992,M.r,64,26_I02_NY.wav
137,27,4,IJU,3340,1992,M.r,64,27_I13_JU.wav
137,28,4,MOK,3338,1992,M.r,64,28_M02_OK.wav
137,29,3,MNY,3342,1992,M.r,64,29_M01_NY.wav
137,30,4,EJU,3343,1992,M.r,64,30_E05_JU.wav
137,31,3,IOK,3339,1992,M.r,64,31_I13_OK.wav
137,32,5,MNY,3342,1992,M.r,64,32_M02_NY.wav
137,33,4,EJU,3343,1992,M.r,64,33_E13_JU.wav
137,34,4,MOK,3338,1992,M.r,64,34_M08_OK.wav
137,35,4,INY,3336,1992,M.r,64,35_I10_NY.wav
137,36,6,EJU,3343,1992,M.r,64,36_E01_JU.wav
137,37,3,MOK,3338,1992,M.r,64,37_M10_OK.wav
137,38,4,ENY,3337,1992,M.r,64,38_E08_NY.wav
137,39,4,MJU,3335,1992,M.r,64,39_M05_JU.wav
137,40,4,EOK,3341,1992,M.r,64,40_E13_OK.wav
137,41,3,INY,3336,1992,M.r,64,41_I01_NY.wav
137,42,4,IJU,3340,1992,M.r,64,42_I05_JU.wav
137,43,4,EOK,3341,1992,M.r,64,43_E08_OK.wav
137,44,5,ENY,3337,1992,M.r,64,44_E05_NY.wav
137,45,4,MJU,3335,1992,M.r,64,45_M10_JU.wav
137,46,4,IOK,3339,1992,M.r,64,46_I08_OK.wav
